reviews,category_sentiment,category,sentiment,room
"kamar mandinya tidak bersih atau mengeluarkan bau yang tidak enak di hidung. Showernya juga rusak. Siaran tv nya sedikit. Roomnya tidak ada jendela, jadi pengap di dalam. Semoga bisa diperbaiki. Selebihnya bagus. ",general-pos,general,pos,Suite
Sprei kamar kotor seperti baru dipakai dan ga diganti. Wifi juga ga dapet ke ruangan yg saya tempati 😌,linen_P1-neg,linen_P1,neg,Suite
Sprei kamar kotor seperti baru dipakai dan ga diganti. Wifi juga ga dapet ke ruangan yg saya tempati 😌,kebersihan-neg,kebersihan,neg,Twin
Sprei kamar kotor seperti baru dipakai dan ga diganti. Wifi juga ga dapet ke ruangan yg saya tempati 😌,wifi_P1-neg,wifi_P1,neg,Single
"Lampu ruangan sangat redup, menyulitkan utk membaca.. Banyak nyamuk di kamar, tidur tidak nyenyak Pelayan kurang peka utk membantu membawa tas dan koper, padahal tamu nya wanita semua",service-neg,service,neg,Twin
"Lampu ruangan sangat redup, menyulitkan utk membaca.. Banyak nyamuk di kamar, tidur tidak nyenyak Pelayan kurang peka utk membantu membawa tas dan koper, padahal tamu nya wanita semua",kebersihan-neg,kebersihan,neg,Single
"Air macet di jam jam penting, di keterangan fasilitas air hangat tidak ditentukan jam kan? Jam 18 air hangat tidak berfungsi, untuk apa mandi air hangat pagi hari? Justru yang penting itu malam, bagaimana orang yang aktifitas sampai malam dan baru bisa man",air_panas_P1-neg,air_panas_P1,neg,Deluxe
Pelayannya tidak di sediain handuk buat mandi,linen_P1-neg,linen_P1,neg,Single
"kebersihannya kurang.. jaringan wifi jg tidak tersedia.. rminta d bantu masalah shower yg tidak berfungsi tpii 1x24H tidak di tangani.. hot water jg tdk mengalir.. ada bathup tpii sayangnya berkerak dn mampet.. jadii mandinya menggunakan ember .. tapi kalo utk bagpacker yg hanya sekedar tidur, okelah.. daripada tidur di terminal",kebersihan-neg,kebersihan,neg,Superior
"kebersihannya kurang.. jaringan wifi jg tidak tersedia.. rminta d bantu masalah shower yg tidak berfungsi tpii 1x24H tidak di tangani.. hot water jg tdk mengalir.. ada bathup tpii sayangnya berkerak dn mampet.. jadii mandinya menggunakan ember .. tapi kalo utk bagpacker yg hanya sekedar tidur, okelah.. daripada tidur di terminal",wifi_P1-neg,wifi_P1,neg,Twin
"kebersihannya kurang.. jaringan wifi jg tidak tersedia.. rminta d bantu masalah shower yg tidak berfungsi tpii 1x24H tidak di tangani.. hot water jg tdk mengalir.. ada bathup tpii sayangnya berkerak dn mampet.. jadii mandinya menggunakan ember .. tapi kalo utk bagpacker yg hanya sekedar tidur, okelah.. daripada tidur di terminal",air_panas_P1-neg,air_panas_P1,neg,Single
"awal konfirmasi reservasi respon resepsionis gak ngenakin..., setelah check-in ternyata kulkas belum bisa digunakan dan kamar mandi agak berbau..., tapi tak dengan harga ga bikin kantong cekak kamar luas dan better lahh...",service-neg,service,neg,Twin
"awal konfirmasi reservasi respon resepsionis gak ngenakin..., setelah check-in ternyata kulkas belum bisa digunakan dan kamar mandi agak berbau..., tapi tak dengan harga ga bikin kantong cekak kamar luas dan better lahh...",bau_P1-neg,bau_P1,neg,Twin
"kamar tidak sesuai dengan harapan,ac sangat kotor,ubin terangkat jadi bahaya ketika terinjak,toilet ada kecoa........general cleaning harus berkala karna fasilitas sangat buruk",ac_P1-neg,ac_P1,neg,Twin
"kamar tidak sesuai dengan harapan,ac sangat kotor,ubin terangkat jadi bahaya ketika terinjak,toilet ada kecoa........general cleaning harus berkala karna fasilitas sangat buruk",kebersihan-neg,kebersihan,neg,Deluxe
"1. Dalam kamar ada bbrp nyamuk. 2. Gantungan dlm kmr ada 2 yg patah (saat masuk kmr sdh patah..namun tdk d perbaiki/diganti). 3. Air panas tdk berfungsi. 4. Stop kontak deket wastafel terlalu tinggi, utk nge charge hp sngt tdk nyaman..krn kabel gak sampai,",air_panas_P1-neg,air_panas_P1,neg,Double
"1. Dalam kamar ada bbrp nyamuk. 2. Gantungan dlm kmr ada 2 yg patah (saat masuk kmr sdh patah..namun tdk d perbaiki/diganti). 3. Air panas tdk berfungsi. 4. Stop kontak deket wastafel terlalu tinggi, utk nge charge hp sngt tdk nyaman..krn kabel gak sampai,",linen_P1-neg,linen_P1,neg,Double
"pemandangannya bagus, hanya kurang tidak ada pemanas air di kamar mandi jadi yg bawa bayi sepertivsaya aga kesulitan karna air di sana terlalu dingin untuk bayi ",air_panas_P1-neg,air_panas_P1,neg,Double
"Kamar agak sedikit bau, perlengkapan lengkap ada air minum, snack, sabun mandi, odol & sikat gigi. Kamar mandi nyaman. AC kamar terlalu dingin. Secara keseluruhan baik. Makasih Airy Room ",bau_P1-neg,bau_P1,neg,Suite
"Kamar agak sedikit bau, perlengkapan lengkap ada air minum, snack, sabun mandi, odol & sikat gigi. Kamar mandi nyaman. AC kamar terlalu dingin. Secara keseluruhan baik. Makasih Airy Room ",linen_P1-pos,linen_P1,pos,Deluxe
"Kamar agak sedikit bau, perlengkapan lengkap ada air minum, snack, sabun mandi, odol & sikat gigi. Kamar mandi nyaman. AC kamar terlalu dingin. Secara keseluruhan baik. Makasih Airy Room ",ac_P1-neg,ac_P1,neg,Single
"Kamar agak sedikit bau, perlengkapan lengkap ada air minum, snack, sabun mandi, odol & sikat gigi. Kamar mandi nyaman. AC kamar terlalu dingin. Secara keseluruhan baik. Makasih Airy Room ",general-pos,general,pos,Double
1. Tempat sampah penuh sampah dan tidak dibersihkan pada saat kami nginap. 2. Banyak nyamuk sehingga tidur tidak nyenyak. 3. Tidak ada sandal untuk dipakai di kamar.,kebersihan-neg,kebersihan,neg,Twin
1. Tempat sampah penuh sampah dan tidak dibersihkan pada saat kami nginap. 2. Banyak nyamuk sehingga tidur tidak nyenyak. 3. Tidak ada sandal untuk dipakai di kamar.,linen_P1-neg,linen_P1,neg,Deluxe
tempat yg nyaman dan tenang untuk istirahat..tp tolong ac nya kurang dingin..semoga di perhatikan..,ac_P1-neg,ac_P1,neg,Suite
"baik,cuma chanel tv nya gak ada jadi gak bisa nonton di kamar secara keselurahan ok kamar rapi bersih dan suasana tenang..",tv_P1-neg,tv_P1,neg,Deluxe
"baik,cuma chanel tv nya gak ada jadi gak bisa nonton di kamar secara keselurahan ok kamar rapi bersih dan suasana tenang..",general-pos,general,pos,Twin
"baik,cuma chanel tv nya gak ada jadi gak bisa nonton di kamar secara keselurahan ok kamar rapi bersih dan suasana tenang..",kebersihan-pos,kebersihan,pos,Superior
"Kebersihan kamar (banyak nyamuk, sprei kotor) ",kebersihan-neg,kebersihan,neg,Double
"Kebersihan kamar (banyak nyamuk, sprei kotor) ",linen_P1-neg,linen_P1,neg,Deluxe
"ruang kamar sdh bersih, fasilitas di kamar mandi oke bgt, cuma WiFi nya lemot bgt, dan air mineral tdk tersedia di kamar",kebersihan-pos,kebersihan,pos,Single
"ruang kamar sdh bersih, fasilitas di kamar mandi oke bgt, cuma WiFi nya lemot bgt, dan air mineral tdk tersedia di kamar",wifi_P1-neg,wifi_P1,neg,Superior
"ruang kamar sdh bersih, fasilitas di kamar mandi oke bgt, cuma WiFi nya lemot bgt, dan air mineral tdk tersedia di kamar",linen_P1-neg,linen_P1,neg,Double
"bersih, nyaman. cuma bantal kecil nya bau. ",kebersihan-pos,kebersihan,pos,Double
"bersih, nyaman. cuma bantal kecil nya bau. ",linen_P1-neg,linen_P1,neg,Single
semua baikndr segi fasilitas dan pelayanan. minusnya di ac yg kurang dingin,general-pos,general,pos,Suite
semua baikndr segi fasilitas dan pelayanan. minusnya di ac yg kurang dingin,service-pos,service,pos,Deluxe
semua baikndr segi fasilitas dan pelayanan. minusnya di ac yg kurang dingin,ac_P1-neg,ac_P1,neg,Single
tempat nya nyaman banget .. pelayanannya ramah . yang kurang air kamar Mandi nya kecil .. Dan AC nya kurang dingin,service-pos,service,pos,Double
tempat nya nyaman banget .. pelayanannya ramah . yang kurang air kamar Mandi nya kecil .. Dan AC nya kurang dingin,ac_P1-neg,ac_P1,neg,Superior
sedikit kecewa. pelayanan nya kurang baik dari sebelum nya. dan airysunrisemeal nya kurang lengkap,service-neg,service,neg,Double
sedikit kecewa. pelayanan nya kurang baik dari sebelum nya. dan airysunrisemeal nya kurang lengkap,sunrise_meal_P1-neg,sunrise_meal_P1,neg,Deluxe
"Big room, friendly staff, but poor conection of the wi fi.",-ignored-,,ignored,Single
"Lebih ditingkatkan lagi untuk pelayanannya, sukseees terruuusss",service-neg,service,neg,Twin
"Hotel yang unik, bersih pelayanan bagus sayang nya kenapa pas malam itu kami menginap banyak sekali nyamuk, sampai susah tidur. ..",kebersihan-pos,kebersihan,pos,Double
"Hotel yang unik, bersih pelayanan bagus sayang nya kenapa pas malam itu kami menginap banyak sekali nyamuk, sampai susah tidur. ..",service-pos,service,pos,Deluxe
"Hotel yang unik, bersih pelayanan bagus sayang nya kenapa pas malam itu kami menginap banyak sekali nyamuk, sampai susah tidur. ..",kebersihan-neg,kebersihan,neg,Single
"Handuknya sangat kecil, lalu untuk sabun dan sampo sangat sedikit. Hanya bisa di pakai untuk 1 kali.",linen_P1-neg,linen_P1,neg,Deluxe
"kamarnya bagus, pertama kali pakai airy ternyata dapet toolkit dan snack juga, cuma wifi hotelnya tdk bisa connect..overall bagus, apalagi diskon 80%",linen_P1-pos,linen_P1,pos,Suite
"kamarnya bagus, pertama kali pakai airy ternyata dapet toolkit dan snack juga, cuma wifi hotelnya tdk bisa connect..overall bagus, apalagi diskon 80%",wifi_P1-neg,wifi_P1,neg,Twin
"kamarnya bagus, pertama kali pakai airy ternyata dapet toolkit dan snack juga, cuma wifi hotelnya tdk bisa connect..overall bagus, apalagi diskon 80%",general-pos,general,pos,Suite
"The service was good, wifi quite slow, overall quite satisfied. ",-ignored-,,ignored,Deluxe
wifi suka error,wifi_P1-neg,wifi_P1,neg,Double
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",kebersihan-pos,kebersihan,pos,Single
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",linen_P1-pos,linen_P1,pos,Twin
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",service-pos,service,pos,Deluxe
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",kebersihan-neg,kebersihan,neg,Superior
"puas sih dengan kamarnya. luas dan panjang, ranjang twin nya juga lebar2. staff resepsionis ramah dan helpful. hanya satu hal yang mengecewakan, wifi mati alias tidak bisa diakses. katanya sedang diperbaiki tp sampai sy cekout tak kunjung bs dipakai..",service-pos,service,pos,Suite
"puas sih dengan kamarnya. luas dan panjang, ranjang twin nya juga lebar2. staff resepsionis ramah dan helpful. hanya satu hal yang mengecewakan, wifi mati alias tidak bisa diakses. katanya sedang diperbaiki tp sampai sy cekout tak kunjung bs dipakai..",wifi_P1-neg,wifi_P1,neg,Suite
"banyak nyamuk, selebihnya oke2 aja",kebersihan-neg,kebersihan,neg,Twin
"banyak nyamuk, selebihnya oke2 aja",general-pos,general,pos,Suite
lumayan dekat dgn perkotaan...  untuk kamar biasa dengan range harga segitu..  tp maaf handuk dapat 2 tp yg 1 bolong...,linen_P1-neg,linen_P1,neg,Deluxe
"Kamar sangan bersih, kamar mandi bersih, peralatan mandinya lengkap. tp kurang puas karna hordeng jendela tidak bisa di tutup rapat sehingga keliatan dari luar, ga dapei air mineral sehingga perlu beli di luar, dan yg parah ga bisa di pake wifi nya. ",kebersihan-pos,kebersihan,pos,Deluxe
"Kamar sangan bersih, kamar mandi bersih, peralatan mandinya lengkap. tp kurang puas karna hordeng jendela tidak bisa di tutup rapat sehingga keliatan dari luar, ga dapei air mineral sehingga perlu beli di luar, dan yg parah ga bisa di pake wifi nya. ",linen_P1-neg,linen_P1,neg,Superior
"Kamar sangan bersih, kamar mandi bersih, peralatan mandinya lengkap. tp kurang puas karna hordeng jendela tidak bisa di tutup rapat sehingga keliatan dari luar, ga dapei air mineral sehingga perlu beli di luar, dan yg parah ga bisa di pake wifi nya. ",wifi_P1-neg,wifi_P1,neg,Superior
"Kamar cukup nyaman, minimalis, reseptionis ramah, hanya saja air ac sedikit bocor dan mengalir ke pintu, dan air shower saat pertama kali dihidupkan agak sedikit bau, juga bagian atap kamar ada tikus, juga Channel TV sedikit, dan juga restaurant tutup sebelum jam 7 malam, padahal dibuku room service tertulis close jam 9 malam. Mohon diperbaiki.",service-pos,service,pos,Superior
"Kamar cukup nyaman, minimalis, reseptionis ramah, hanya saja air ac sedikit bocor dan mengalir ke pintu, dan air shower saat pertama kali dihidupkan agak sedikit bau, juga bagian atap kamar ada tikus, juga Channel TV sedikit, dan juga restaurant tutup sebelum jam 7 malam, padahal dibuku room service tertulis close jam 9 malam. Mohon diperbaiki.",ac_P1-neg,ac_P1,neg,Twin
"Kamar cukup nyaman, minimalis, reseptionis ramah, hanya saja air ac sedikit bocor dan mengalir ke pintu, dan air shower saat pertama kali dihidupkan agak sedikit bau, juga bagian atap kamar ada tikus, juga Channel TV sedikit, dan juga restaurant tutup sebelum jam 7 malam, padahal dibuku room service tertulis close jam 9 malam. Mohon diperbaiki.",tv_P1-neg,tv_P1,neg,Superior
"gedunnya tidak ada plang berlogo Airy dan tidak ada nomornya. jam 8 malam, Saat ditanya tempat ini Airy atau bukan, petugasnya merespon dengan sangat tidak ramah... buruk sekali pelayanannya...",service-neg,service,neg,Superior
Overall nyaman. Hanya WiFi yang kurang sampai ke kamar dan juga menu sarapan yang kurang bervariasi.,general-pos,general,pos,Double
Overall nyaman. Hanya WiFi yang kurang sampai ke kamar dan juga menu sarapan yang kurang bervariasi.,wifi_P1-neg,wifi_P1,neg,Deluxe
Overall nyaman. Hanya WiFi yang kurang sampai ke kamar dan juga menu sarapan yang kurang bervariasi.,sunrise_meal_P1-neg,sunrise_meal_P1,neg,Superior
"Wifi bermasalah & showernya ada bag. yg bocor, selebihnya bagus... 🙂",wifi_P1-neg,wifi_P1,neg,Suite
"Wifi bermasalah & showernya ada bag. yg bocor, selebihnya bagus... 🙂",general-pos,general,pos,Single
wifi nya aja diperbaiki tolong dan air panasnya terlalu panassssssss,wifi_P1-neg,wifi_P1,neg,Superior
wifi nya aja diperbaiki tolong dan air panasnya terlalu panassssssss,air_panas_P1-neg,air_panas_P1,neg,Deluxe
luas bgt..tp air panesnya jengkelin,air_panas_P1-neg,air_panas_P1,neg,Suite
Wifinya perlu di cek apakah sudah bisa atau belum bisa d gunakan oleh pengunjung,wifi_P1-neg,wifi_P1,neg,Single
"Kurang bersih, pelayanan juga kurang bagus",kebersihan-neg,kebersihan,neg,Suite
"Kurang bersih, pelayanan juga kurang bagus",service-neg,service,neg,Deluxe
"kamar luas, ac dan air tdk ad masalah. untuk breakfastnya enak. hanya saran untuk kebersihan banyak dan selimutnya d tingkatkan. overall, hotel ini lumayan.",ac_P1-pos,ac_P1,pos,Suite
"kamar luas, ac dan air tdk ad masalah. untuk breakfastnya enak. hanya saran untuk kebersihan banyak dan selimutnya d tingkatkan. overall, hotel ini lumayan.",sunrise_meal_P1-pos,sunrise_meal_P1,pos,Suite
"kamar luas, ac dan air tdk ad masalah. untuk breakfastnya enak. hanya saran untuk kebersihan banyak dan selimutnya d tingkatkan. overall, hotel ini lumayan.",kebersihan-neg,kebersihan,neg,Suite
"kamar luas, ac dan air tdk ad masalah. untuk breakfastnya enak. hanya saran untuk kebersihan banyak dan selimutnya d tingkatkan. overall, hotel ini lumayan.",linen_P1-neg,linen_P1,neg,Single
"kamar luas, ac dan air tdk ad masalah. untuk breakfastnya enak. hanya saran untuk kebersihan banyak dan selimutnya d tingkatkan. overall, hotel ini lumayan.",general-pos,general,pos,Superior
"Lantai kurang bersih, yang lain cukup",kebersihan-neg,kebersihan,neg,Suite
"Lantai kurang bersih, yang lain cukup",general-pos,general,pos,Twin
"Dua kali menginap dihotel sm dan dapat kamar yang sm tetep AC ndak pernah dingin serasa tidak ada AC nya itu kamar dan suara pendingin kamar yang cukup berisik,tp selaen masalah AC yang tidak pernah dingin makanan dan kebersihan cukup memuaskan saya dan ke",ac_P1-neg,ac_P1,neg,Suite
"Dua kali menginap dihotel sm dan dapat kamar yang sm tetep AC ndak pernah dingin serasa tidak ada AC nya itu kamar dan suara pendingin kamar yang cukup berisik,tp selaen masalah AC yang tidak pernah dingin makanan dan kebersihan cukup memuaskan saya dan ke",sunrise_meal_P1-pos,sunrise_meal_P1,pos,Suite
"Dua kali menginap dihotel sm dan dapat kamar yang sm tetep AC ndak pernah dingin serasa tidak ada AC nya itu kamar dan suara pendingin kamar yang cukup berisik,tp selaen masalah AC yang tidak pernah dingin makanan dan kebersihan cukup memuaskan saya dan ke",kebersihan-pos,kebersihan,pos,Twin
"semua baik,, rekomended,, kecuali wifi gak jalan,, ",wifi_P1-neg,wifi_P1,neg,Twin
"semua baik,, rekomended,, kecuali wifi gak jalan,, ",general-pos,general,pos,Single
"kurang stopkontak, pemanas air kurang baik",air_panas_P1-neg,air_panas_P1,neg,Deluxe
"tampilan luar boleh biasa tapi kamarnya luas, bed empuk, fasilitas lengkap, breakfastnya enak. Tapi di kamar no 1, pintu sebelah kanan perlu diperbaiki, ac kurang dingin dan shower perlu diperbaiki krn ada bocor, shower air panas tdk berfungsi.",linen_P1-pos,linen_P1,pos,Suite
"tampilan luar boleh biasa tapi kamarnya luas, bed empuk, fasilitas lengkap, breakfastnya enak. Tapi di kamar no 1, pintu sebelah kanan perlu diperbaiki, ac kurang dingin dan shower perlu diperbaiki krn ada bocor, shower air panas tdk berfungsi.",sunrise_meal_P1-pos,sunrise_meal_P1,pos,Superior
"tampilan luar boleh biasa tapi kamarnya luas, bed empuk, fasilitas lengkap, breakfastnya enak. Tapi di kamar no 1, pintu sebelah kanan perlu diperbaiki, ac kurang dingin dan shower perlu diperbaiki krn ada bocor, shower air panas tdk berfungsi.",ac_P1-neg,ac_P1,neg,Deluxe
"tampilan luar boleh biasa tapi kamarnya luas, bed empuk, fasilitas lengkap, breakfastnya enak. Tapi di kamar no 1, pintu sebelah kanan perlu diperbaiki, ac kurang dingin dan shower perlu diperbaiki krn ada bocor, shower air panas tdk berfungsi.",air_panas_P1-neg,air_panas_P1,neg,Superior
"kamar kecil, air sempat mati, byk semut dan di bwh bed byk kotoran/sampah.",kebersihan-neg,kebersihan,neg,Superior
"Posisi kamar pas di belakang Mak Beng warung, jadi kamar bau ikan goreng dan sambal terasi ",bau_P1-neg,bau_P1,neg,Single
"Tempat tidurnya kotor, bantalnya bau semua... buat badan jadi gatal kayak banyak hewannya, jadi tidak bisa tidur dengan nyenyak. Tempat parkir terlalu sempit, sampai harus di titipkan ke lahan parkir yang ada di sebrang hotel.",linen_P1-neg,linen_P1,neg,Deluxe
"Tempat tidurnya kotor, bantalnya bau semua... buat badan jadi gatal kayak banyak hewannya, jadi tidak bisa tidur dengan nyenyak. Tempat parkir terlalu sempit, sampai harus di titipkan ke lahan parkir yang ada di sebrang hotel.",kebersihan-neg,kebersihan,neg,Single
"kamar bersih walau hotel lama,wifi parah,makanan tidak ada variasi tapi rasa oke.posisi yang strategis kemana2",kebersihan-pos,kebersihan,pos,Suite
"kamar bersih walau hotel lama,wifi parah,makanan tidak ada variasi tapi rasa oke.posisi yang strategis kemana2",wifi_P1-neg,wifi_P1,neg,Superior
"Kursi tidak bisa dipakai, malah dijadikan ganjalan meja. Toilet becek, AC berisik, kolong kasur kotor banyak sampah. ",kebersihan-neg,kebersihan,neg,Double
"Kursi tidak bisa dipakai, malah dijadikan ganjalan meja. Toilet becek, AC berisik, kolong kasur kotor banyak sampah. ",ac_P1-neg,ac_P1,neg,Double
"tv nya macet mulu siarannya ,wifi bagus banget",tv_P1-neg,tv_P1,neg,Double
"tv nya macet mulu siarannya ,wifi bagus banget",wifi_P1-pos,wifi_P1,pos,Single
Kamarnya banyak nyamuk.,-ignored-,,ignored,Single
"Kamarnya bagus tapi free snack, meal sama water nya g ada... ",linen_P1-neg,linen_P1,neg,Single
suasana .. and view-nya..kerennnnn... pegawainya ramahh... datang langsung check in... dan diantar ke kamar... untuk fasilitas buat anak2 lumayan... ada perosotan ayunan dan mainan lainnya.. kolam renang juga.. tp kolamnya Dingin... dan kurang bersih.. mohon ditingkatkan jg utk kebersihan kamar nya. thanks airy .. thank ariandri...sukses selalu..,service-pos,service,pos,Single
suasana .. and view-nya..kerennnnn... pegawainya ramahh... datang langsung check in... dan diantar ke kamar... untuk fasilitas buat anak2 lumayan... ada perosotan ayunan dan mainan lainnya.. kolam renang juga.. tp kolamnya Dingin... dan kurang bersih.. mohon ditingkatkan jg utk kebersihan kamar nya. thanks airy .. thank ariandri...sukses selalu..,kebersihan-neg,kebersihan,neg,Deluxe
air panas di kamar mandi ga nyala. udh dilaporkan bbrapa kali tp ga direspon. resepsionisnya kurang ramah dan terkesan cuek. kebersihan bagus.,air_panas_P1-neg,air_panas_P1,neg,Single
air panas di kamar mandi ga nyala. udh dilaporkan bbrapa kali tp ga direspon. resepsionisnya kurang ramah dan terkesan cuek. kebersihan bagus.,service-neg,service,neg,Twin
air panas di kamar mandi ga nyala. udh dilaporkan bbrapa kali tp ga direspon. resepsionisnya kurang ramah dan terkesan cuek. kebersihan bagus.,kebersihan-pos,kebersihan,pos,Deluxe
Good....cuma menu sarapan kurang nyaman,sunrise_meal_P1-neg,sunrise_meal_P1,neg,Twin
"Hotelnya tak nyaman karena berisik. Para staff yang tak berintelektual dari tengah malam sampai subuh teriak teriak diluar sambil menyetel TV dengan kencang. Staff hanya memikirkan kenyamanan diri sendiri dan tak memikirkan tamu yang sudah tertidur, apalgi",service-neg,service,neg,Double
Wifinya kurang kenceng malah nggak dapet sama sekali. Terus pintu lemarinya suka copot,wifi_P1-neg,wifi_P1,neg,Twin
AC kurang dingin tapi ada kipas atas jadi terbantu. Overall baik,ac_P1-neg,ac_P1,neg,Suite
AC kurang dingin tapi ada kipas atas jadi terbantu. Overall baik,general-pos,general,pos,Superior
tidak sesuai yang difoto .. snack ngga ada terus ada nyamuk,linen_P1-neg,linen_P1,neg,Single
Air panas ga ada sih wkt aku nginap,air_panas_P1-neg,air_panas_P1,neg,Twin
"saya agak tersinggung padahal waktu checkout jam 12, tapi sebelum itu barang saya udah dikeluarin ",service-neg,service,neg,Double
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,kebersihan-neg,kebersihan,neg,Superior
"air panas gak berjalan normal, kasian buat mandiin bayi susah jadinya.. ",air_panas_P1-neg,air_panas_P1,neg,Superior
"Pelayanan ok, tapi... kamarnya agak pengap AC sudah agak tua dan berisik.",service-pos,service,pos,Suite
"Pelayanan ok, tapi... kamarnya agak pengap AC sudah agak tua dan berisik.",bau_P1-neg,bau_P1,neg,Superior
"Pelayanan ok, tapi... kamarnya agak pengap AC sudah agak tua dan berisik.",ac_P1-neg,ac_P1,neg,Suite
Ruangan kurang kedap suara berisik dari luar terdengar sangat jelas kedalam kamar. Toilet agak bau.,bau_P1-neg,bau_P1,neg,Double
"staff ya baik dan ramah, air panas kurang panas ",service-pos,service,pos,Twin
"staff ya baik dan ramah, air panas kurang panas ",air_panas_P1-neg,air_panas_P1,neg,Deluxe
"wifi tidak sampai ke setiap kamar, selain itu okelah..",wifi_P1-neg,wifi_P1,neg,Double
"wifi tidak sampai ke setiap kamar, selain itu okelah..",general-pos,general,pos,Superior
"ga da wifi d lantai 2,kamar mandi ga da gantungan handuk or baju,over all bagus,n recomended",wifi_P1-neg,wifi_P1,neg,Suite
"ga da wifi d lantai 2,kamar mandi ga da gantungan handuk or baju,over all bagus,n recomended",linen_P1-neg,linen_P1,neg,Superior
"ga da wifi d lantai 2,kamar mandi ga da gantungan handuk or baju,over all bagus,n recomended",general-pos,general,pos,Single
ac kamar kurang dingin,ac_P1-neg,ac_P1,neg,Suite
Pelayanan kurang ramah..kamar agak sempit..,service-neg,service,neg,Deluxe
"nyesel nginep di sini , order lewat airyroom tapi ngak dapat fasilitas airyroom sama sekali, ngecewain banget cekin juga harus nunggu 15menit , parkiran sempit cs jutek ngecewain lah intinya ",linen_P1-neg,linen_P1,neg,Suite
"nyesel nginep di sini , order lewat airyroom tapi ngak dapat fasilitas airyroom sama sekali, ngecewain banget cekin juga harus nunggu 15menit , parkiran sempit cs jutek ngecewain lah intinya ",service-neg,service,neg,Twin
Kamar berdebu. kamar mandi kurang bersih,kebersihan-neg,kebersihan,neg,Twin
"yang berkesan adalah pelayanan dan sarapannya.. yang perlu diperbaiki adalah fasilitas peralatan mandi, siaran tv dan harganya sedikit diturunkan :-)",service-pos,service,pos,Single
"yang berkesan adalah pelayanan dan sarapannya.. yang perlu diperbaiki adalah fasilitas peralatan mandi, siaran tv dan harganya sedikit diturunkan :-)",sunrise_meal_P1-pos,sunrise_meal_P1,pos,Twin
"yang berkesan adalah pelayanan dan sarapannya.. yang perlu diperbaiki adalah fasilitas peralatan mandi, siaran tv dan harganya sedikit diturunkan :-)",linen_P1-neg,linen_P1,neg,Double
"yang berkesan adalah pelayanan dan sarapannya.. yang perlu diperbaiki adalah fasilitas peralatan mandi, siaran tv dan harganya sedikit diturunkan :-)",tv_P1-neg,tv_P1,neg,Suite
kamarnya nyaman... ac dingin... layanan nya jg baik tpiiiii.... klu bs sprei nya di ganti... gatal2 sih....,ac_P1-pos,ac_P1,pos,Deluxe
kamarnya nyaman... ac dingin... layanan nya jg baik tpiiiii.... klu bs sprei nya di ganti... gatal2 sih....,service-pos,service,pos,Double
kamarnya nyaman... ac dingin... layanan nya jg baik tpiiiii.... klu bs sprei nya di ganti... gatal2 sih....,linen_P1-neg,linen_P1,neg,Deluxe
"memuaskan,cman satu pihak hotel kurang ramah,yg lain smua ny bagus",service-neg,service,neg,Twin
"memuaskan,cman satu pihak hotel kurang ramah,yg lain smua ny bagus",general-pos,general,pos,Deluxe
"The place was not clean specially at bathroom, but location is very good",-ignored-,,ignored,Single
Tolong kebersihannya lebih d jaga karena pas sayamasuk ruangan sdah bau rkok. trus handuk tidak putih bersih mlah kucel.  tolong sediain tissue.  dan juga klo ada kerusakan tlong segera d perbaiki sperti kapstok d kamar mandi dan jg wifi. wifi nya tidak connect.  thank u..,kebersihan-neg,kebersihan,neg,Twin
Tolong kebersihannya lebih d jaga karena pas sayamasuk ruangan sdah bau rkok. trus handuk tidak putih bersih mlah kucel.  tolong sediain tissue.  dan juga klo ada kerusakan tlong segera d perbaiki sperti kapstok d kamar mandi dan jg wifi. wifi nya tidak connect.  thank u..,bau_P1-neg,bau_P1,neg,Superior
Tolong kebersihannya lebih d jaga karena pas sayamasuk ruangan sdah bau rkok. trus handuk tidak putih bersih mlah kucel.  tolong sediain tissue.  dan juga klo ada kerusakan tlong segera d perbaiki sperti kapstok d kamar mandi dan jg wifi. wifi nya tidak connect.  thank u..,linen_P1-neg,linen_P1,neg,Superior
Tolong kebersihannya lebih d jaga karena pas sayamasuk ruangan sdah bau rkok. trus handuk tidak putih bersih mlah kucel.  tolong sediain tissue.  dan juga klo ada kerusakan tlong segera d perbaiki sperti kapstok d kamar mandi dan jg wifi. wifi nya tidak connect.  thank u..,wifi_P1-neg,wifi_P1,neg,Suite
"kl malem hotelnya gelap,  lampunya kamar juga kurang terang,  kamar mandinya bau,  kunci kamarnya agak rusak",bau_P1-neg,bau_P1,neg,Single
"kamar cukup luas dan lokasi strategis dkt dengan kampus, mall, tempag makan tapi kamar mandi kotor d",kebersihan-neg,kebersihan,neg,Suite
